"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"108",1.55299127566216e-06,0.624211369927791,0.296,0.191,0.0434107651285842,"35","RESP18"
"109",6.50922315031372e-09,0.585965394489395,0.59,0.454,0.000181952314720719,"36","RSRP1"
"110",0.00112041068514583,0.440641515096905,0.351,0.286,1,"36","TBRG1"
"111",0.00132823898156475,0.437091647299945,0.287,0.22,1,"36","COMMD6"
"112",5.99007951326019e-41,0.956706263989268,0.963,0.707,1.67440692634162e-36,"37","CRYM"
"113",2.99271737280201e-36,0.894240571321652,0.553,0.187,8.36554287219345e-32,"37","RESP18"
"114",2.63848786865485e-32,0.840123586395825,0.745,0.335,7.37536513925091e-28,"37","TIMP2"
"115",2.82582651134625e-26,0.608151079279249,1,0.912,7.89903284716617e-22,"38","MT-RNR1"
"116",1.17835090274917e-15,0.578612038068143,0.918,0.676,3.29384427845474e-11,"38","TPR"
"117",1.11754700207164e-13,0.48085230742326,0.913,0.676,3.12387913489086e-09,"38","ZEB2"
"118",3.84740801901082e-20,0.92526745411983,0.445,0.202,1.07546596355409e-15,"39","ZCCHC12"
"119",9.5267654696078e-28,0.920947271423209,0.527,0.215,2.66301675171947e-23,"39","GRP"
"120",3.44374015845668e-28,0.897936389815931,0.918,0.708,9.62628686493395e-24,"39","CRYM"
"121",1.88473693402699e-12,0.72507072043247,0.287,0.122,5.26840515168565e-08,"40","GRIN3A"
"122",2.24451045273222e-12,0.593134768719346,0.837,0.658,6.27408006852237e-08,"40","D430041D05RIK"
"123",1.5718337667471e-11,0.553837411818639,0.303,0.136,4.39374692818817e-07,"40","CD9"
"124",2.24490766721661e-41,1.08703765937552,0.92,0.535,6.27519040217058e-37,"41","RPL41"
"125",3.4966908231439e-36,0.950600150916819,0.937,0.594,9.77429985793415e-32,"41","MIF"
"126",2.06214405185448e-35,0.922739298605309,0.937,0.568,5.76431126814884e-31,"41","USMG5"
"127",1.27370880425748e-118,2.74891079919729,0.956,0.322,3.56039822054094e-114,"42","APOE"
"128",4.09600213697824e-81,2.22623586625776,0.975,0.57,1.14495547734953e-76,"42","CST3"
"129",7.83757848981139e-130,2.17533867286404,0.748,0.135,2.19083831525698e-125,"42","ALDOC"
"130",1.04790920648526e-05,0.705828517200795,0.38,0.261,0.292922060488826,"43","BC048546"
"131",0.00270874911296184,0.508535777312105,0.487,0.472,1,"43","ANK"
"132",0.00137130675614228,0.448221117225403,0.4,0.335,1,"43","DGKZ"
"133",2.09833030727878e-10,0.70459419543211,0.483,0.287,5.86546270793638e-06,"44","RPL38"
"134",7.38702905294681e-10,0.676856634026147,0.565,0.377,2.06489623117022e-05,"44","HMGB1"
"135",2.11030508177571e-12,0.573946548805167,0.884,0.722,5.89893579508763e-08,"44","ATP5K"
"136",4.37327785792842e-08,0.855670420488085,0.287,0.125,0.00122246235962673,"45","GM20721"
"137",3.32554152926373e-12,0.708227185758438,0.941,0.879,9.29588623675091e-08,"45","RBM25"
"138",4.02779425072173e-05,0.657888776178075,0.644,0.512,1,"45","RSBN1L"
"139",0,3.31941235416947,0.838,0.012,0,"46","INHBA"
"140",3.91414005924008e-61,2.87046519544302,0.95,0.312,1.09411957075938e-56,"46","LINGO1"
"141",2.90303376968615e-46,2.79765935658994,0.975,0.581,8.11485029640369e-42,"46","BDNF"
